labID,	age,	error,	depth,	cc
OS-82897,	585,	15,	34.5,	1
OS-82898,	1410,	15,	54.5,	1
OS-60237,	2710,	45,	122.5,	1
OS-61215,	2140,	55,	122.5,	1
OS-67886,	2920,	85,	142.5,	1
OS-67672,	3170,	50,	294.5,	1
OS-71148,	3400,	20,	330.5,	1
OS-71149,	3410,	20,	337.5,	1
OS-67891,	3620,	90,	343.5,	1
OS-71855,	3260,	130,	344,	1
OS-71864,	3410,	120,	344,	1
OS-71856,	3670,	160,	348.25,	1
OS-67898,	3470,	110,	400.5,	1
OS-71150,	4870,	20,	500.5,	1
OS-71151,	4890,	20,	505.5,	1
OS-64260,	4210,	110,	524.25,	1
OS-60211,	5010,	30,	525.5,	1
OS-61209,	4540,	75,	525.5,	1
OS-64266,	4880,	180,	526,	1
OS-64263,	4930,	100,	527.75,	1
OS-67466,	5020,	50,	590.5,	1
OS-67896,	5490,	180,	652.5,	1
OS-71152,	6240,	25,	719.5,	1
OS-71153,	6070,	20,	724.5,	1
OS-64262,	5880,	130,	751,	1
OS-67888,	5840,	130,	751.5,	1
OS-64265,	6360,	140,	753,	1
OS-64264,	5410,	150,	755.5,	1
OS-67875,	5670,	85,	862.5,	1
OS-66713,	6640,	40,	897.5,	1
OS-66598,	6750,	40,	956.5,	1
OS-60212,	7530,	40,	1070.5,	1
OS-60206,	7300,	50,	1070.5,	1
OS-60209,	7580,	35,	1132.5,	1
