ID,Depth,Core,Substrate,14C_age,error,,,,,,,
OS-60237,1.225,1B,algal,2710,45,,,,,,,
OS-60211,5.255,1B,algal,5010,30,,,,,,,
OS-60212,10.705,1B,algal,7530,40,,,,,,,
OS-60190,1.225,1B,carb,3980,30,,,,,,,
OS-60189,1.845,1A,carb,4240,25,,,,,,,
OS-60188,5.255,1B,carb,7660,45,,,,,,,
OS-60014,10.705,1B,carb,10850,50,,,,,,,
OS-60414,11.325,1B,carb,10150,40,,,,,,,
OS-89691   ,1.12,1B,charcoal,1730,55,,,,,,,
OS-84807,4.845,1B,charcoal,2980,120,,,,,,,
OS-89692   ,6.32,1B,charcoal,4530,80,,,,,,,
OS-89689   ,7.765,1B,charcoal,2840,110,,,,,,,
OS-89690   ,9.42,1B,charcoal,4240,120,,,,,,,
OS-89693   ,10.86,1B,charcoal,5900,110,,,,,,,
OS-82897,0.345,1B,cysts,585,15,,,,,,,
OS-82898,0.545,1B,cysts,1410,15,,,,,,,
OS-61215,1.225,1B,cysts,2140,55,,,,,,,
OS-67886,1.425,1B,cysts,2920,85,,,,,,,
OS-67672,2.945,1B,cysts,3170,50,,,,,,,
OS-67891,3.435,1B,cysts,3620,90,,,,,,,
OS-67898,4.005,1B,cysts,3470,110,,,,,,,
OS-61209,5.255,1B,cysts,4540,75,,,,,,,
OS-67466,5.905,1B,cysts,5020,50,,,,,,,
OS-67896,6.525,1B,cysts,5490,180,,,,,,,
OS-67888,7.515,1B,cysts,5840,130,,,,,,,
OS-67875,8.625,1B,cysts,5670,85,,,,,,,
OS-66713,8.975,1B,cysts,6640,40,,,,,,,
OS-66598,9.565,1B,cysts,6750,40,,,,,,,
OS-60206,10.705,1B,cysts,7300,50,,,,,,,
OS-60209,11.325,1B,cysts,7580,35,,,,,,,
OS-71850,3.44,1B,lc-alk,4400,140,,,,,,,
OS-71861,3.44,1B,lc-alk,5530,220,,,,,,,
OS-71856,3.4825,1B,m/lc-alk,3670,160,,,,,,,
OS-64260,5.2425,1B,m/lc-alk,4210,110,,,,,,,
OS-64263,5.2775,1B,m/lc-alk,4930,100,,,,,,,
OS-64262,7.51,1B,m/lc-alk,5880,130,,,,,,,
OS-64264,7.555,1B,m/lc-alk,5410,150,,,,,,,
OS-71855,3.44,1B,sc-alk,3260,130,,,,,,,
OS-71864,3.44,1B,m/lc-alk,3410,120,,,,,,,
OS-64266,5.26,1B,sc-alk,4880,180,,,,,,,
OS-64265,7.53,1B,sc-alk,6360,140,,,,,,,
OS-61201,1.848,1A,seed,1760,65,,,,,,,
OS-71148,3.305,1B,toc,3400,20,,,,,,,
OS-71149,3.375,1B,toc,3410,20,,,,,,,
OS-71150,5.005,1B,toc,4870,20,,,,,,,
OS-71151,5.055,1B,toc,4890,20,,,,,,,
OS-71152,7.195,1B,toc,6240,25,,,,,,,
OS-71153,7.245,1B,toc,6070,20,,,,,,,
